# Ep lEiso
1.011 -8.766
1.023 -8.790
1.094 -8.718
1.136 -8.727
1.158 -8.756
1.209 -8.786
1.240 -8.707
1.268 -8.752
1.311 -8.782
1.313 -8.781
1.343 -8.750
1.395 -8.764
1.414 -8.720
1.454 -8.740
1.493 -8.771
1.509 -8.791
1.581 -8.747
1.598 -8.759
1.638 -8.800
1.649 -8.771
1.678 -8.745
1.683 -8.757
1.702 -8.785
1.733 -8.746
1.759 -8.747
1.798 -8.776
1.799 -8.769
1.824 -8.758
1.845 -8.751
1.860 -8.770
2.005 -8.823
2.012 -8.829
2.023 -8.782
2.067 -8.796
2.120 -8.798
2.126 -8.838
2.190 -8.731
2.224 -8.732
2.227 -8.819
2.279 -8.717
2.302 -8.790
2.321 -8.779
2.359 -8.824
2.368 -8.830
2.381 -8.785
2.414 -8.806
2.491 -8.807
2.611 -8.730
2.621 -8.762
2.628 -8.820
2.639 -8.766
2.659 -8.744
2.709 -8.799
2.729 -8.801
2.790 -8.750
2.798 -8.808
2.825 -8.817
2.995 -8.727
3.031 -8.810
3.149 -8.795
3.149 -8.790
3.213 -8.842
3.263 -8.837
3.358 -8.812
3.365 -8.762
3.450 -8.863
3.501 -8.771
3.667 -8.692
3.683 -8.755
3.742 -8.785
3.828 -8.860
3.829 -8.862
3.850 -8.789
3.888 -8.838
3.954 -8.888
3.999 -8.826
4.025 -8.832
4.140 -8.796
4.224 -8.822
4.228 -8.816
4.282 -8.862
4.300 -8.839
4.324 -8.781
4.376 -8.828
4.439 -8.837
4.467 -8.844
4.494 -8.857
4.676 -8.819
4.699 -8.858
4.732 -8.857
4.765 -8.849
4.845 -8.793
4.851 -8.809
4.861 -8.776
4.985 -8.779
5.016 -8.836
5.103 -8.792
5.295 -8.780
5.361 -8.873
5.364 -8.848
5.428 -8.899
5.434 -8.912
5.442 -8.940
5.452 -8.868
5.476 -8.811
5.512 -8.799
5.521 -8.864
5.603 -8.833
5.689 -8.844
5.717 -8.940
5.761 -8.911
5.766 -8.942
5.815 -8.864
5.885 -8.885
5.894 -8.857
5.947 -8.846
6.008 -8.791
6.547 -8.916
6.555 -8.761
6.624 -8.839
6.713 -8.913
6.735 -8.850
6.754 -8.857
6.837 -8.991
6.882 -8.825
6.908 -8.816
7.142 -8.986
7.166 -8.916
7.231 -8.813
7.329 -8.901
7.378 -8.901
7.530 -8.950
7.593 -8.894
7.711 -8.884
7.727 -8.909
7.974 -8.918
8.006 -8.921
8.244 -8.910
8.258 -8.962
8.400 -8.810
8.499 -8.861
8.524 -8.875
8.547 -8.880
8.778 -8.888
8.807 -8.866
8.841 -8.968
9.127 -8.902
9.166 -8.933
9.640 -8.956
9.663 -8.910
9.665 -8.788
10.124 -8.935
10.216 -8.868
10.369 -9.002
10.542 -8.883
10.811 -8.964
10.917 -8.961
10.941 -8.846
11.284 -8.974
11.383 -8.903
11.446 -8.956
11.607 -8.948
11.620 -8.868
11.752 -9.106
11.823 -8.934
12.129 -8.958
12.354 -8.921
13.063 -8.927
13.137 -8.900
13.284 -8.908
13.375 -8.946
13.565 -8.987
13.577 -9.017
14.016 -9.075
14.133 -8.990
14.187 -9.013
14.337 -8.872
14.355 -8.996
14.502 -8.918
14.574 -8.848
14.740 -8.968
15.063 -8.849
15.125 -8.933
15.218 -9.044
15.232 -8.966
15.726 -9.057
16.090 -8.990
16.237 -9.024
16.282 -8.906
16.548 -8.966
16.655 -9.018
16.766 -8.972
16.769 -9.055
16.906 -9.041
17.332 -8.985
17.571 -8.913
17.804 -8.973
17.931 -9.101
18.016 -9.004
18.071 -9.018
18.117 -8.975
18.191 -8.932
18.589 -9.008
18.703 -8.943
18.936 -8.865
18.992 -9.035
19.015 -8.975
19.138 -9.041
19.278 -9.095
19.373 -8.972
19.532 -9.024
19.587 -8.968
19.680 -8.992
20.064 -9.066
20.314 -9.206
20.372 -9.115
20.383 -9.003
20.449 -9.093
20.576 -9.089
20.628 -8.993
20.922 -8.966
21.788 -9.173
21.814 -9.012
21.857 -9.160
21.864 -9.073
22.108 -9.055
22.211 -8.870
22.278 -9.113
22.280 -9.169
22.345 -9.050
22.719 -9.113
22.738 -9.210
22.801 -9.046
23.213 -9.011
23.393 -9.141
23.523 -9.046
23.882 -9.092
24.124 -9.010
24.151 -9.295
24.355 -9.124
24.380 -9.147
24.517 -9.133
24.534 -9.037
24.610 -9.172
24.637 -9.232
24.639 -9.127
24.779 -9.114
24.882 -9.115
25.178 -9.243
25.183 -9.340
25.313 -9.319
25.411 -9.182
25.419 -9.287
25.646 -9.232
25.647 -9.130
25.649 -9.090
25.687 -9.241
25.703 -9.058
25.774 -9.186
25.831 -9.120
25.853 -9.154
25.857 -9.194
25.906 -9.145
26.137 -9.233
26.447 -9.102
26.450 -9.222
26.502 -9.215
26.680 -9.181
26.717 -8.994
26.739 -9.127
26.760 -9.150
26.834 -9.239
26.892 -9.243
26.898 -9.210
26.908 -9.004
26.923 -9.244
