# Ep lEiso
1.006 120.222
1.014 120.536
1.055 120.514
1.080 121.031
1.093 120.434
1.123 120.469
1.142 121.428
1.158 120.502
1.183 120.223
1.184 119.918
1.202 120.548
1.233 120.260
1.244 120.220
1.268 120.736
1.291 120.339
1.300 120.333
1.341 120.610
1.348 120.386
1.364 121.290
1.368 120.185
1.379 120.724
1.381 120.489
1.388 121.714
1.400 120.727
1.410 120.726
1.425 120.177
1.426 120.322
1.435 120.510
1.443 120.704
1.449 120.348
1.505 120.553
1.508 120.795
1.512 120.221
1.529 121.866
1.550 120.590
1.552 120.449
1.577 121.289
1.590 121.300
1.591 120.369
1.611 120.580
1.620 120.216
1.627 120.437
1.642 121.125
1.646 119.490
1.651 120.342
1.665 119.959
1.698 120.454
1.748 121.431
1.752 120.854
1.755 120.070
1.760 120.780
1.768 121.194
1.790 120.219
1.798 120.190
1.824 121.098
1.827 120.089
1.838 120.255
1.910 120.318
1.926 120.125
1.975 120.412
1.975 120.500
2.002 119.651
2.023 119.748
2.058 120.197
2.060 120.069
2.086 119.935
2.102 120.331
2.153 122.240
2.158 120.316
2.175 120.822
2.202 120.254
2.202 120.141
2.208 120.253
2.220 120.223
2.240 120.962
2.254 120.323
2.262 120.239
2.297 120.208
2.323 120.468
2.324 120.562
2.340 120.161
2.346 120.257
2.353 120.107
2.369 120.447
2.388 120.332
2.397 120.244
2.404 120.069
2.446 120.662
2.452 120.127
2.459 120.150
2.467 120.269
2.485 120.500
2.487 120.485
2.489 120.092
2.517 121.249
2.528 120.500
2.558 120.198
2.624 120.237
2.647 120.091
2.647 120.405
2.669 120.402
2.672 119.623
2.674 120.248
2.678 120.175
2.686 119.933
2.698 120.368
2.701 120.239
2.730 120.632
2.759 120.507
2.769 120.147
2.784 120.182
2.786 120.455
2.802 120.284
2.824 120.044
2.826 120.380
2.840 120.512
2.857 120.055
3.001 119.794
3.003 120.283
3.022 120.607
3.045 119.838
3.051 120.496
3.057 120.320
3.079 120.363
3.091 120.282
3.098 120.035
3.160 120.229
3.167 120.488
