# Ep lEiso
37.632 -11.395
44.093 -12.135
53.696 -11.508
56.666 -11.581
58.243 -11.878
61.018 -11.731
62.192 -11.354
63.229 -11.177
64.820 -11.974
64.882 -11.692
66.005 -11.807
67.952 -11.826
68.541 -11.488
69.485 -11.693
70.403 -11.885
70.782 -11.608
72.427 -11.720
72.688 -11.832
73.318 -11.358
73.485 -11.925
73.935 -11.642
74.011 -11.762
74.302 -11.127
74.781 -11.629
75.183 -11.625
75.787 -11.900
75.811 -11.825
76.194 -11.700
76.485 -11.621
76.667 -11.803
78.361 -11.685
78.441 -11.560
78.575 -11.854
79.091 -11.003
79.711 -11.451
79.776 -11.728
80.533 -11.007
80.925 -11.282
80.969 -11.761
81.575 -11.119
81.844 -11.834
82.060 -11.719
82.449 -11.362
82.520 -11.439
82.624 -11.764
82.889 -11.959
83.514 -11.699
84.449 -11.189
84.515 -11.486
84.564 -11.889
84.637 -11.523
84.775 -11.309
85.117 -11.809
85.256 -11.824
85.671 -11.354
85.728 -11.873
85.910 -11.786
87.071 -11.125
87.320 -11.846
88.125 -11.694
88.128 -11.649
88.565 -11.850
88.904 -11.846
89.471 -11.798
89.505 -11.380
89.927 -11.930
90.180 -11.418
91.000 -10.738
91.080 -11.728
91.369 -11.466
91.791 -11.757
91.795 -11.815
91.888 -11.471
92.058 -11.771
92.358 -11.389
92.557 -11.717
92.676 -11.760
93.192 -11.773
93.569 -11.637
93.586 -11.589
93.827 -11.794
93.908 -11.744
94.014 -11.820
94.251 -11.644
94.533 -11.702
94.657 -11.747
94.771 -11.629
95.387 -11.527
95.463 -11.803
95.574 -11.790
95.688 -11.729
95.958 -11.608
95.979 -11.616
96.012 -11.209
96.430 -11.220
96.537 -11.604
96.831 -11.301
97.480 -11.732
97.702 -11.805
97.711 -11.643
97.928 -11.643
97.950 -11.526
97.974 -11.722
98.008 -11.759
98.090 -11.396
98.211 -11.658
98.241 -11.724
98.520 -11.520
98.811 -11.581
98.901 -11.766
99.045 -11.746
99.060 -11.605
99.219 -11.691
99.421 -11.812
99.443 -11.639
99.576 -11.569
99.729 -11.244
101.087 -11.511
101.107 -11.082
101.282 -11.498
101.505 -11.892
101.562 -11.552
101.610 -11.591
101.819 -11.617
101.931 -11.658
101.997 -11.369
102.585 -11.608
102.647 -11.543
102.809 -11.350
103.058 -11.676
103.180 -11.627
103.488 -11.614
103.617 -11.704
103.856 -11.635
103.889 -11.608
104.389 -11.758
104.454 -11.075
104.936 -11.674
104.965 -11.924
105.253 -11.166
105.454 -11.400
105.504 -11.623
105.551 -11.481
106.009 -11.487
106.067 -11.375
106.135 -11.782
106.672 -11.702
106.737 -11.650
107.518 -11.718
107.555 -11.502
107.558 -10.944
108.314 -11.583
108.465 -11.615
108.718 -11.862
109.002 -11.676
109.439 -11.661
109.587 -11.648
109.622 -11.690
110.101 -11.697
110.239 -11.604
110.328 -11.620
110.553 -11.586
110.571 -11.122
110.756 -11.534
110.855 -11.527
111.283 -11.617
111.597 -11.476
112.508 -11.473
112.599 -11.570
112.780 -11.557
112.891 -11.526
113.124 -11.662
113.139 -11.773
113.677 -11.546
113.821 -10.929
113.887 -11.508
114.071 -11.216
114.093 -10.799
114.267 -11.532
114.351 -11.099
114.542 -11.500
114.915 -11.014
114.987 -11.309
115.094 -11.698
115.111 -11.410
115.681 -11.670
116.100 -11.359
116.271 -11.467
116.324 -11.014
116.644 -11.707
116.772 -11.445
116.905 -11.539
116.909 -11.579
117.073 -11.529
117.585 -11.331
117.875 -10.844
118.155 -11.297
118.309 -11.735
118.413 -11.406
118.488 -11.452
118.550 -11.536
118.650 -11.169
119.187 -11.482
119.341 -11.595
119.654 -10.982
119.731 -11.514
119.762 -11.565
119.928 -11.533
120.117 -11.699
120.245 -11.352
120.460 -11.483
120.534 -10.703
120.660 -11.390
121.248 -11.593
121.636 -11.747
121.726 -11.721
121.743 -11.509
121.846 -10.849
122.044 -10.920
122.124 -11.351
122.580 -11.262
124.072 -11.799
124.120 -11.303
124.199 -11.382
124.213 -11.483
124.668 -11.393
124.858 -10.785
124.984 -11.559
124.987 -11.469
125.109 -11.345
125.805 -11.502
125.840 -11.831
125.956 -11.353
126.862 -11.117
127.271 -11.566
127.570 -11.232
128.398 -11.395
128.955 -11.099
129.017 -11.414
129.524 -11.502
129.596 -11.583
129.995 -11.523
130.043 -11.184
130.266 -11.653
130.342 -11.580
130.349 -11.494
130.756 -11.440
131.055 -11.436
131.919 -11.428
131.932 -11.467
132.317 -11.152
132.607 -11.513
132.631 -11.503
133.330 -11.608
133.335 -11.425
133.340 -11.294
133.485 -11.430
133.548 -11.190
133.818 -11.597
134.037 -11.383
134.119 -11.493
134.137 -11.620
134.322 -11.462
135.205 -11.446
136.404 -11.491
136.416 -11.225
136.618 -11.657
137.312 -11.554
137.454 -10.999
137.539 -11.394
137.621 -11.460
137.916 -11.378
138.215 -11.545
138.245 -11.421
138.295 -11.032
138.371 -10.824
138.877 -11.470
139.118 -11.471
139.444 -11.047
139.522 -11.654
139.541 -10.948
139.618 -11.657
139.758 -11.210
139.995 -11.486
140.273 -11.498
140.416 -11.072
140.672 -11.393
140.756 -11.462
141.494 -11.452
141.511 -11.437
141.839 -11.587
141.846 -11.592
142.607 -11.321
143.502 -11.481
143.762 -10.702
144.219 -11.507
144.946 -11.582
145.199 -10.779
146.366 -11.319
146.854 -11.540
146.957 -11.502
146.995 -11.425
147.315 -11.300
147.647 -11.453
147.723 -11.469
148.061 -11.031
148.184 -11.362
148.778 -11.161
148.806 -11.602
148.830 -11.383
149.244 -11.443
149.479 -10.804
149.585 -11.452
149.787 -11.505
150.060 -11.638
150.357 -11.564
150.574 -11.455
150.971 -11.557
150.989 -10.930
151.034 -11.251
152.529 -11.337
152.840 -11.245
153.991 -10.652
154.026 -11.413
154.491 -11.302
154.711 -11.411
155.453 -11.346
155.646 -11.077
155.855 -11.421
155.957 -11.152
155.973 -11.293
155.986 -11.428
156.159 -11.168
156.300 -11.367
156.380 -10.866
156.638 -11.357
157.543 -10.993
158.389 -11.187
158.608 -11.524
159.160 -11.317
