# Ep lEiso
118.515 -9.133
121.862 -9.136
128.785 -9.048
130.488 -9.040
131.392 -9.055
133.452 -9.064
134.733 -8.991
135.417 -8.974
136.305 -9.044
136.340 -9.043
136.967 -9.016
138.054 -9.023
138.456 -8.988
139.284 -9.000
140.089 -8.983
140.422 -8.973
141.612 -8.995
141.760 -8.978
142.120 -8.970
142.215 -9.007
142.472 -8.987
142.515 -8.995
142.681 -8.953
142.954 -8.977
143.183 -8.983
143.528 -9.000
143.542 -8.995
143.760 -8.986
143.942 -8.980
144.080 -8.992
145.357 -9.017
145.417 -8.963
145.519 -8.989
145.908 -8.931
146.376 -8.959
146.425 -9.019
146.943 -8.927
147.166 -8.944
147.191 -9.001
147.535 -8.932
147.688 -8.978
147.811 -8.970
148.032 -8.998
148.072 -9.001
148.132 -8.972
148.282 -8.984
148.637 -8.981
149.191 -8.930
149.235 -8.949
149.268 -8.984
149.317 -8.951
149.410 -8.936
149.640 -8.968
149.733 -8.969
150.012 -8.937
150.050 -8.970
150.172 -8.975
150.953 -8.918
151.120 -8.964
151.662 -8.951
151.663 -8.949
151.947 -8.976
152.136 -8.972
152.452 -8.955
152.471 -8.928
152.705 -8.963
152.846 -8.929
153.303 -8.883
153.348 -8.916
153.508 -8.930
153.746 -8.966
153.748 -8.966
153.806 -8.929
153.910 -8.952
154.093 -8.976
154.216 -8.943
154.289 -8.906
154.605 -8.925
154.837 -8.936
154.847 -8.933
154.995 -8.954
155.045 -8.942
155.110 -8.914
155.255 -8.935
155.428 -8.938
155.504 -8.940
155.574 -8.946
155.952 -8.925
155.999 -8.942
156.067 -8.941
156.136 -8.937
156.303 -8.911
156.315 -8.918
156.336 -8.903
156.584 -8.903
156.641 -8.927
156.801 -8.907
157.153 -8.900
157.273 -8.902
157.278 -8.927
157.396 -8.947
157.408 -8.952
157.421 -8.963
157.439 -8.934
157.484 -8.911
157.549 -8.905
157.566 -8.931
157.717 -8.917
157.875 -8.921
157.925 -8.958
158.007 -8.946
158.015 -8.957
158.105 -8.927
158.220 -8.934
158.233 -8.923
158.308 -8.918
158.395 -8.898
159.166 -8.937
159.177 -8.884
159.277 -8.910
159.403 -8.935
159.436 -8.913
159.463 -8.915
159.582 -8.959
159.646 -8.904
159.683 -8.901
160.017 -8.953
160.052 -8.931
160.144 -8.898
160.285 -8.924
160.354 -8.924
160.530 -8.937
160.603 -8.918
160.733 -8.914
160.751 -8.898
161.012 -8.920
161.046 -8.877
161.299 -8.914
161.314 -8.929
161.464 -8.881
161.570 -8.895
161.596 -8.880
161.621 -8.900
161.866 -8.899
161.897 -8.892
161.933 -8.923
162.219 -8.899
162.254 -8.908
162.671 -8.911
162.691 -8.897
162.693 -8.861
163.096 -8.900
163.177 -8.902
163.312 -8.918
163.463 -8.926
163.697 -8.903
163.776 -8.918
163.794 -8.870
164.050 -8.904
164.124 -8.885
164.171 -8.899
164.291 -8.896
164.301 -8.875
164.399 -8.937
164.449 -8.891
164.666 -8.897
164.825 -8.887
165.287 -8.885
165.333 -8.879
165.425 -8.880
165.481 -8.888
165.599 -8.897
165.607 -8.904
165.880 -8.915
165.953 -8.848
165.986 -8.899
166.079 -8.866
166.090 -8.839
166.179 -8.875
166.221 -8.858
166.318 -8.884
166.508 -8.852
166.544 -8.871
166.598 -8.896
166.607 -8.877
166.896 -8.893
167.109 -8.872
167.195 -8.879
167.222 -8.850
167.384 -8.894
167.449 -8.877
167.517 -8.866
167.519 -8.885
167.602 -8.882
167.856 -8.868
167.997 -8.836
168.133 -8.865
168.208 -8.892
168.258 -8.871
168.295 -8.896
168.325 -8.865
168.374 -8.855
168.635 -8.871
168.709 -8.857
168.862 -8.841
168.899 -8.875
168.914 -8.863
168.995 -8.876
169.086 -8.886
169.149 -8.862
169.253 -8.849
169.289 -8.822
169.350 -8.866
169.636 -8.877
169.825 -8.902
169.869 -8.885
169.877 -8.863
169.927 -8.828
170.023 -8.832
170.062 -8.860
170.283 -8.853
170.991 -8.886
171.014 -8.854
171.051 -8.883
171.058 -8.865
171.271 -8.859
171.360 -8.819
171.419 -8.869
171.421 -8.881
171.478 -8.855
171.804 -8.864
171.821 -8.885
171.875 -8.848
172.300 -8.837
172.492 -8.866
172.630 -8.843
173.012 -8.852
173.269 -8.831
173.297 -8.852
173.528 -8.857
173.561 -8.863
173.742 -8.858
173.764 -8.836
173.866 -8.866
173.901 -8.880
173.904 -8.838
174.089 -8.852
174.225 -8.851
174.616 -8.877
174.622 -8.898
174.795 -8.832
174.924 -8.862
174.935 -8.884
175.247 -8.820
175.249 -8.849
175.252 -8.841
175.317 -8.872
175.345 -8.834
175.466 -8.860
175.563 -8.846
175.600 -8.853
175.608 -8.861
175.690 -8.851
176.082 -8.866
176.609 -8.818
176.614 -8.831
176.702 -8.859
177.004 -8.850
177.066 -8.812
177.104 -8.807
177.139 -8.843
177.268 -8.860
177.398 -8.847
177.411 -8.853
177.433 -8.812
177.466 -8.797
177.687 -8.847
177.791 -8.810
177.931 -8.863
177.964 -8.852
177.972 -8.804
178.005 -8.852
178.065 -8.871
178.166 -8.840
178.285 -8.861
178.346 -8.811
178.456 -8.817
178.492 -8.825
178.807 -8.855
178.814 -8.835
178.955 -8.845
178.958 -8.863
179.280 -8.813
179.656 -8.817
179.766 -8.783
179.958 -8.869
180.264 -8.840
180.369 -8.785
180.853 -8.847
181.056 -8.849
181.099 -8.848
181.114 -8.807
181.247 -8.818
181.384 -8.787
181.415 -8.857
181.554 -8.800
181.604 -8.843
181.847 -8.853
