# Ep lEiso
1.008 -11.244
1.018 -11.371
1.074 -11.320
1.107 -11.035
1.124 -11.188
1.164 -11.347
1.189 -10.933
1.211 -11.170
1.244 -11.255
1.246 -11.319
1.270 -11.158
1.311 -11.231
1.326 -11.002
1.357 -11.110
1.388 -11.211
1.400 -11.367
1.455 -11.141
1.464 -11.198
1.485 -11.401
1.490 -11.249
1.505 -11.112
1.508 -11.172
1.517 -11.313
1.533 -11.111
1.547 -11.112
1.567 -11.250
1.568 -11.213
1.583 -11.154
1.599 -11.118
1.612 -11.207
1.725 -11.436
1.731 -11.460
1.740 -11.236
1.774 -11.296
1.816 -11.297
1.820 -11.478
1.871 -10.986
1.898 -10.985
1.900 -11.374
1.941 -11.152
1.959 -11.235
1.974 -11.184
2.000 -11.377
2.005 -11.398
2.012 -11.206
2.029 -11.291
2.071 -11.401
2.137 -11.116
2.142 -11.092
2.146 -11.320
2.152 -11.109
2.163 -11.457
2.190 -11.230
2.201 -11.236
2.234 -11.042
2.238 -11.257
2.253 -11.288
2.346 -10.956
2.375 -11.251
2.467 -11.440
2.468 -11.428
2.518 -11.369
2.557 -11.353
2.622 -11.264
2.626 -11.483
2.675 -11.433
2.704 -11.113
2.798 -10.832
2.807 -11.315
2.840 -11.148
2.890 -11.399
2.890 -11.403
2.902 -11.156
2.923 -11.319
2.961 -11.486
2.987 -11.272
3.002 -11.292
3.067 -11.166
3.115 -11.250
3.117 -11.229
3.148 -11.382
3.158 -11.302
3.171 -11.365
3.201 -11.262
3.237 -11.291
3.253 -11.313
3.267 -11.355
3.358 -11.221
3.371 -11.345
3.390 -11.340
3.410 -11.283
3.458 -11.133
3.461 -11.184
3.467 -11.079
3.540 -11.085
3.559 -11.258
3.610 -11.122
3.724 -11.082
3.763 -11.349
3.765 -11.277
3.803 -11.419
3.806 -11.456
3.811 -11.534
3.817 -11.329
3.831 -11.167
3.852 -11.131
3.857 -11.314
3.906 -11.223
3.957 -11.251
3.974 -11.514
4.000 -11.432
4.003 -11.515
4.032 -11.301
4.069 -11.356
4.073 -11.279
4.097 -11.248
4.125 -11.104
4.374 -11.409
4.378 -11.215
4.410 -11.223
4.451 -11.398
4.461 -11.248
4.470 -11.265
4.515 -11.576
4.543 -11.190
4.559 -11.171
4.702 -11.562
4.717 -11.402
4.756 -11.170
4.817 -11.368
4.846 -11.370
4.921 -11.471
4.952 -11.341
5.010 -11.668
5.018 -11.369
5.140 -11.376
5.156 -11.381
5.273 -11.344
5.280 -11.463
5.350 -11.106
5.399 -11.219
5.411 -11.248
5.422 -11.259
5.536 -11.267
5.550 -11.214
5.567 -11.450
5.700 -11.566
5.716 -11.355
5.926 -11.399
5.937 -11.292
5.939 -11.419
6.177 -11.344
6.225 -11.707
6.305 -11.495
6.395 -11.574
6.533 -11.402
6.580 -11.525
6.590 -11.420
6.742 -11.431
6.786 -11.908
6.814 -11.393
6.885 -11.377
6.890 -11.523
6.949 -11.730
6.980 -11.349
7.115 -11.405
7.214 -11.329
7.532 -11.338
7.567 -11.278
7.638 -11.292
7.681 -11.374
7.772 -11.460
7.778 -11.526
7.988 -11.648
8.043 -11.460
8.069 -11.509
8.141 -11.196
8.149 -11.470
8.217 -11.288
8.250 -11.124
8.325 -11.379
8.470 -11.459
8.498 -11.575
8.540 -11.516
8.546 -11.328
8.768 -11.506
8.932 -11.304
8.999 -11.378
9.019 -11.567
9.163 -11.544
9.222 -11.365
9.284 -11.249
9.285 -11.457
9.361 -11.423
9.596 -11.651
9.728 -11.530
9.856 -11.258
9.927 -11.570
9.974 -11.564
10.008 -11.609
10.037 -11.266
10.082 -11.164
10.327 -11.347
10.397 -11.196
10.541 -11.864
10.576 -11.412
10.590 -11.672
10.666 -11.425
10.752 -11.549
10.813 -11.785
10.921 -11.388
10.959 -11.265
11.022 -11.319
11.320 -11.470
11.517 -11.768
11.562 -11.566
11.571 -11.755
11.623 -11.515
11.723 -11.501
11.764 -11.288
11.994 -11.537
12.741 -11.651
12.765 -11.267
12.805 -11.622
12.812 -11.410
13.042 -11.352
13.139 -11.384
13.202 -11.499
13.204 -11.652
13.265 -11.324
13.617 -11.480
13.635 -11.774
13.694 -11.352
14.152 -11.792
14.359 -11.594
14.502 -11.274
14.884 -11.457
15.141 -11.316
15.169 -11.492
15.403 -11.591
15.436 -11.673
15.620 -11.624
15.642 -11.292
15.745 -11.759
15.781 -11.963
15.783 -11.335
15.972 -11.561
16.109 -11.565
16.471 -12.011
16.476 -12.333
16.628 -11.357
16.742 -11.834
16.752 -12.177
17.028 -11.250
17.030 -11.696
17.032 -11.567
17.089 -12.056
17.114 -11.479
17.220 -11.899
17.306 -11.703
17.339 -11.817
17.346 -11.943
17.419 -11.800
17.767 -12.118
18.199 -11.492
18.203 -11.681
18.269 -12.097
18.495 -12.010
18.542 -11.505
18.570 -11.439
18.596 -11.930
18.693 -12.169
18.791 -12.016
18.800 -11.908
18.817 -11.568
18.842 -11.389
19.007 -11.788
19.085 -11.609
19.190 -11.626
19.215 -11.705
19.221 -11.548
19.246 -12.133
19.291 -11.771
19.367 -12.002
19.456 -12.018
19.502 -11.686
19.584 -11.758
19.611 -11.852
19.827 -12.213
19.832 -11.992
19.921 -12.110
19.923 -12.309
20.127 -11.757
20.366 -11.815
20.435 -11.423
20.557 -12.426
20.750 -12.111
20.817 -11.476
21.124 -12.217
21.252 -12.080
21.279 -12.048
21.289 -11.761
21.368 -11.886
21.443 -11.504
21.460 -12.354
21.535 -11.665
21.562 -12.189
