# Ep lEiso
1.005 -11.409
1.012 -12.274
1.047 -9.653
1.069 -9.961
1.080 -11.026
1.106 -12.786
1.122 -9.221
1.136 -8.588
1.157 -12.008
1.158 -11.961
1.173 -10.807
1.200 -11.334
1.210 -9.673
1.230 -10.449
1.250 -12.598
1.258 -9.209
1.293 -10.673
1.298 -11.094
1.312 -12.610
1.316 -11.470
1.325 -10.452
1.327 -10.896
1.333 -8.576
1.343 -9.997
1.352 -10.443
1.365 -13.406
1.365 -11.209
1.373 -10.761
1.380 -10.478
1.386 -13.582
1.433 -12.991
1.436 -13.184
1.439 -12.320
1.454 -12.993
1.472 -11.902
1.473 -13.393
1.495 -8.247
1.506 -9.294
1.507 -12.573
1.524 -8.683
1.532 -11.406
1.538 -10.972
1.549 -12.650
1.551 -12.832
1.554 -11.157
1.562 -11.909
1.579 -13.527
1.607 -8.986
1.609 -10.130
1.611 -12.202
1.613 -10.275
1.618 -13.460
1.629 -11.383
1.634 -11.440
1.648 -9.628
1.650 -11.637
1.656 -11.929
1.695 -8.748
1.703 -11.558
1.730 -13.251
1.730 -13.136
1.745 -12.509
1.756 -12.312
1.775 -11.401
1.776 -13.453
1.791 -12.928
1.806 -9.905
1.856 -7.149
1.860 -9.170
1.878 -10.094
1.904 -12.436
1.904 -12.475
1.910 -10.112
1.921 -11.648
1.941 -13.219
1.954 -11.143
1.962 -11.323
1.997 -11.394
2.022 -10.822
2.023 -10.614
2.039 -12.068
2.044 -11.289
2.051 -11.890
2.067 -10.863
2.086 -11.119
2.094 -11.318
2.102 -11.715
2.143 -10.362
2.148 -11.588
2.155 -11.536
2.162 -11.264
2.180 -10.728
2.182 -10.764
2.184 -13.296
2.212 -8.974
2.219 -10.720
2.238 -13.759
2.282 -11.322
2.296 -11.668
2.297 -10.918
2.311 -12.399
2.313 -12.788
