# Ep lEiso
1.006 121.745
1.012 121.669
1.049 121.889
1.072 121.860
1.083 121.769
1.110 121.675
1.127 121.911
1.142 121.960
1.164 121.723
1.165 121.686
1.181 121.777
1.209 121.733
1.219 121.861
1.240 121.798
1.261 121.857
1.269 121.889
1.306 121.774
1.312 121.844
1.326 121.868
1.330 121.713
1.340 121.787
1.341 121.755
1.348 121.925
1.359 121.819
1.368 121.785
1.381 121.708
1.382 121.728
1.390 121.760
1.397 121.780
1.403 121.730
1.453 121.597
1.455 121.817
1.459 121.709
1.474 121.674
1.493 121.810
1.495 121.569
1.517 121.922
1.529 121.849
1.530 121.624
1.548 121.888
1.556 121.702
1.562 121.731
1.574 121.617
1.576 121.605
1.581 121.717
1.593 121.666
1.621 121.667
1.665 121.854
1.669 121.779
1.671 121.642
1.675 121.768
1.683 121.822
1.701 121.693
1.708 121.689
1.730 121.806
1.733 121.675
1.743 121.655
1.805 121.856
1.818 121.674
1.861 121.709
1.862 121.720
1.885 121.610
1.903 121.621
1.933 121.677
1.935 121.780
1.958 121.642
1.971 121.768
2.015 121.931
2.019 121.808
2.035 121.750
2.057 121.609
2.058 121.607
2.063 121.747
2.073 121.656
2.091 121.563
2.102 121.684
2.109 121.673
2.140 121.744
2.162 121.699
2.163 121.710
2.177 121.628
2.182 121.671
2.188 121.777
2.202 121.694
2.219 121.679
2.226 121.668
2.233 121.646
2.269 121.717
2.273 121.651
2.280 121.654
2.287 121.668
2.303 121.763
2.304 121.735
2.306 121.791
2.330 121.786
2.337 121.694
2.359 121.765
2.415 121.783
2.434 121.639
2.434 121.678
2.453 121.601
2.455 121.581
2.457 121.540
2.460 121.649
2.467 121.735
2.477 121.753
2.480 121.656
2.503 121.703
2.528 121.686
2.536 121.546
2.549 121.589
2.550 121.545
2.564 121.658
2.582 121.628
2.584 121.668
2.596 121.684
2.610 121.760
2.731 121.591
2.733 121.788
2.749 121.689
2.768 121.595
2.774 121.675
2.778 121.665
2.796 121.500
2.807 121.704
2.812 121.715
2.865 121.510
2.870 121.594
2.885 121.714
2.907 121.612
2.918 121.611
2.945 121.560
2.957 121.626
2.978 121.462
2.981 121.697
3.026 121.609
3.032 121.607
3.075 121.625
3.077 121.567
3.103 121.742
3.121 121.686
3.125 121.672
3.130 121.667
3.171 121.662
3.177 121.688
3.183 121.575
3.232 121.520
3.238 121.620
3.309 121.600
3.312 121.650
3.312 121.779
3.407 121.625
3.426 121.616
3.458 121.557
3.494 121.522
3.549 121.598
3.567 121.544
3.572 121.713
3.632 121.585
3.649 121.651
3.661 121.601
3.689 121.607
3.691 121.681
3.714 121.460
3.727 121.618
3.781 121.594
3.820 121.624
3.935 121.619
3.947 121.643
3.969 121.637
3.983 121.605
4.013 121.572
4.015 121.546
4.082 121.501
4.101 121.737
4.109 121.554
4.132 121.669
4.135 121.765
4.157 121.634
4.167 121.694
4.191 121.601
4.239 121.572
4.248 121.455
4.261 121.552
4.263 121.618
4.335 121.555
4.388 121.624
4.409 121.598
4.416 121.534
4.456 121.541
4.473 121.600
4.490 121.638
4.491 121.569
4.518 121.580
4.603 121.505
4.651 121.545
4.698 121.634
4.724 121.532
4.741 121.534
4.753 121.519
4.764 121.632
4.780 121.665
4.869 121.536
4.895 121.564
4.947 121.436
4.959 121.584
4.964 121.499
4.992 121.579
5.023 121.539
5.045 121.462
5.080 121.494
5.093 121.500
5.113 121.614
5.211 121.565
5.275 121.467
5.290 121.533
5.293 121.471
5.310 121.550
5.343 121.554
5.356 121.624
5.432 121.542
5.676 121.508
5.684 121.634
5.697 121.519
5.699 121.588
5.773 121.610
5.805 121.572
5.825 121.487
5.826 121.520
5.845 121.621
5.990 121.569
5.997 121.484
6.021 121.605
6.211 121.476
6.297 121.527
6.358 121.609
6.529 121.556
6.643 121.626
6.656 121.542
6.760 121.513
6.775 121.490
6.857 121.501
6.867 121.589
6.913 121.463
6.929 121.408
6.930 121.504
7.014 121.513
7.075 121.510
7.252 121.391
7.255 121.304
7.332 121.568
7.394 121.441
7.400 121.348
7.575 121.394
7.576 121.484
7.578 121.519
7.614 121.386
7.629 121.545
7.697 121.431
7.752 121.487
7.772 121.456
7.777 121.421
7.823 121.462
8.044 121.379
8.340 121.565
8.343 121.509
8.393 121.385
8.563 121.409
8.598 121.568
8.619 121.454
8.639 121.434
8.711 121.356
8.785 121.405
8.792 121.441
8.804 121.554
8.823 121.614
8.947 121.483
9.006 121.546
9.094 121.317
9.117 121.362
9.122 121.571
9.145 121.360
9.185 121.279
9.254 121.407
9.334 121.400
9.375 121.526
9.449 121.500
9.473 121.463
9.687 121.316
9.692 121.404
9.786 121.355
9.788 121.275
10.006 121.490
10.260 121.460
10.334 121.617
10.464 121.207
10.671 121.329
10.742 121.586
11.113 121.282
11.271 121.338
11.305 121.351
11.317 121.470
11.421 121.419
11.528 121.499
11.552 121.225
11.660 121.510
11.699 121.293
11.889 121.236
11.898 121.316
11.905 121.217
12.037 121.344
12.112 121.286
12.146 121.367
12.210 121.348
12.296 121.301
12.389 121.325
