# Ep lEiso
1.015 -9.025
1.034 -9.101
1.135 -8.876
1.196 -8.906
1.228 -9.000
1.301 -9.100
1.347 -8.848
1.387 -8.995
1.449 -9.093
1.451 -9.090
1.495 -8.991
1.570 -9.039
1.598 -8.897
1.656 -8.966
1.745 -9.032
1.782 -9.132
1.943 -8.994
1.968 -8.914
2.030 -9.162
2.046 -9.065
2.090 -8.979
2.097 -9.017
2.126 -9.109
2.173 -8.981
2.212 -8.982
2.271 -9.072
2.273 -9.049
2.311 -9.011
2.342 -8.988
2.366 -9.047
2.588 -9.208
2.604 -8.943
2.630 -9.073
2.731 -9.118
2.852 -8.951
2.864 -9.251
3.012 -8.903
3.088 -8.902
3.097 -9.186
3.215 -9.026
3.268 -9.089
3.310 -9.052
3.386 -9.199
3.400 -9.216
3.420 -9.070
3.472 -9.137
3.594 -9.135
3.784 -9.005
3.802 -8.986
3.818 -9.169
3.842 -9.000
3.888 -9.282
4.001 -9.101
4.047 -9.107
4.184 -8.947
4.203 -9.127
4.263 -9.155
4.648 -8.872
4.730 -9.130
4.997 -9.080
4.998 -9.064
5.142 -9.225
5.254 -9.209
5.489 -9.128
5.505 -8.972
5.696 -9.277
5.811 -8.990
6.183 -9.154
6.219 -9.167
6.350 -9.015
6.544 -9.240
6.545 -9.244
6.592 -9.019
6.677 -9.167
6.827 -9.318
6.926 -9.121
6.986 -9.139
7.277 -9.019
7.526 -9.093
7.536 -9.073
7.695 -9.211
7.748 -9.137
7.818 -9.193
7.974 -9.097
8.159 -9.120
8.241 -9.139
8.316 -9.176
8.721 -9.050
8.771 -9.163
8.844 -9.158
8.919 -9.133
9.097 -9.084
9.111 -9.015
9.132 -9.320
9.453 -8.926
9.542 -9.089
9.788 -9.380
10.331 -9.163
10.516 -9.200
10.524 -9.128
10.705 -9.275
10.724 -9.313
10.744 -9.392
10.773 -9.186
10.841 -9.023
10.942 -8.988
10.967 -9.174
11.201 -9.086
11.443 -9.119
11.521 -9.396
11.664 -9.311
11.681 -9.398
11.850 -9.173
12.067 -9.231
12.091 -9.150
12.234 -9.118
12.398 -8.967
13.853 -9.286
13.875 -9.083
14.063 -9.091
14.342 -9.274
14.415 -9.118
14.476 -9.136
14.743 -9.456
14.886 -9.057
14.970 -9.037
15.720 -9.422
15.799 -9.264
16.006 -9.035
16.323 -9.360
16.478 -9.225
16.891 -9.319
17.079 -9.197
17.425 -9.509
17.474 -9.225
18.201 -9.235
18.296 -9.240
18.996 -9.207
19.039 -9.321
19.457 -9.171
19.759 -9.090
19.835 -9.119
19.906 -9.130
20.607 -9.145
20.695 -9.091
20.799 -9.335
21.620 -9.474
21.719 -9.249
22.868 -9.314
22.920 -9.191
22.925 -9.521
24.007 -9.259
24.224 -9.711
24.587 -9.454
24.979 -9.558
25.531 -9.332
25.718 -9.482
25.762 -9.351
26.367 -9.358
26.541 -9.920
26.653 -9.742
26.938 -9.288
26.959 -9.457
27.193 -9.691
27.318 -9.252
27.782 -9.368
28.091 -9.338
28.990 -9.295
29.080 -9.450
29.258 -9.498
29.367 -9.623
29.597 -9.775
29.612 -9.507
30.119 -10.101
30.229 -9.274
30.280 -9.915
30.421 -9.515
30.438 -9.185
30.572 -9.636
30.637 -9.434
30.784 -9.752
31.071 -9.393
31.125 -9.618
31.208 -9.252
31.221 -9.698
31.659 -9.901
31.982 -9.688
32.113 -9.376
32.154 -9.454
32.399 -9.629
32.482 -9.762
32.562 -9.648
32.564 -9.854
32.663 -9.821
32.969 -9.683
33.141 -9.341
33.308 -9.657
33.399 -9.484
33.461 -9.733
33.505 -10.005
33.542 -9.664
33.602 -9.564
33.921 -9.745
34.012 -9.595
34.199 -9.420
34.244 -9.809
34.263 -9.672
34.362 -9.823
34.474 -9.945
34.550 -9.670
34.677 -9.522
34.712 -9.205
34.772 -9.716
35.051 -9.867
35.235 -10.168
35.278 -9.964
35.286 -9.716
35.335 -9.303
35.429 -9.356
35.467 -9.684
35.684 -9.614
36.382 -10.041
36.404 -9.654
36.441 -10.007
36.448 -9.795
36.660 -9.728
36.750 -9.249
36.801 -9.860
36.802 -10.005
36.849 -9.692
37.118 -9.818
37.132 -10.079
37.177 -9.626
37.527 -9.515
37.685 -9.874
37.799 -9.607
38.114 -9.732
38.325 -9.492
38.349 -9.745
38.542 -9.813
38.569 -9.878
38.717 -9.829
38.733 -9.559
38.805 -9.941
38.830 -10.106
38.832 -9.816
38.965 -9.786
39.062 -9.517
39.342 -10.130
39.346 -10.132
39.469 -9.620
39.562 -9.979
39.570 -10.239
39.793 -9.532
39.794 -9.864
39.796 -9.768
39.842 -10.130
39.862 -9.701
39.949 -10.007
40.019 -9.861
40.045 -9.943
40.050 -10.034
40.110 -9.928
40.392 -10.143
40.736 -9.671
40.739 -9.806
40.795 -10.104
40.988 -10.032
41.028 -9.652
41.051 -9.600
41.074 -9.968
41.156 -10.147
41.239 -10.026
41.247 -10.084
41.261 -9.676
41.282 -9.534
41.423 -9.835
41.490 -9.685
41.579 -9.689
41.600 -9.753
41.605 -9.623
41.626 -10.105
41.664 -9.802
41.729 -9.990
41.805 -10.000
41.844 -9.712
41.914 -9.768
41.937 -9.848
42.134 -10.160
42.138 -9.965
42.220 -10.069
42.221 -10.243
42.409 -9.761
42.628 -9.813
42.692 -9.479
42.804 -9.640
42.982 -10.065
43.043 -9.533
43.325 -10.151
43.443 -10.037
43.468 -10.012
43.477 -9.777
43.553 -9.879
43.628 -9.571
43.645 -10.258
43.720 -9.704
43.747 -10.124
43.879 -9.789
43.885 -10.077
43.891 -10.265
43.982 -10.023
44.035 -9.558
44.058 -9.635
44.103 -10.015
44.162 -10.103
44.227 -10.058
44.274 -10.263
44.361 -9.798
44.365 -9.653
44.375 -9.861
44.699 -9.922
44.767 -9.862
45.007 -9.485
45.014 -10.179
45.109 -10.235
45.154 -9.969
45.304 -9.928
45.343 -9.758
45.385 -9.975
45.406 -10.167
45.409 -9.799
45.412 -10.019
45.447 -9.815
45.475 -9.943
45.491 -10.190
45.543 -9.639
45.724 -9.723
45.893 -9.844
45.936 -10.055
46.045 -9.926
46.121 -9.963
46.244 -9.851
46.246 -9.805
46.321 -9.741
46.372 -10.078
46.447 -9.976
46.517 -10.100
46.519 -9.945
46.549 -10.122
