# Ep lEiso
1.003 -12.635
1.006 -12.922
1.024 -12.055
1.035 -12.158
1.040 -12.508
1.053 -12.352
1.062 -11.922
1.069 -11.719
1.080 -12.661
1.080 -12.810
1.088 -12.438
1.101 -12.607
1.106 -12.076
1.116 -12.325
1.126 -12.074
1.131 -11.933
1.148 -12.398
1.151 -12.101
1.158 -11.995
1.160 -12.648
1.165 -12.329
1.166 -12.468
1.169 -11.742
1.174 -12.188
1.178 -12.327
1.185 -12.652
1.185 -12.002
1.189 -12.427
1.193 -12.339
1.195 -12.550
1.220 -13.115
1.221 -12.156
1.223 -12.173
1.230 -11.646
1.239 -12.167
1.240 -13.235
1.251 -11.660
1.256 -11.981
1.257 -12.982
1.266 -11.796
1.269 -12.625
1.273 -12.493
1.278 -13.003
1.279 -13.058
1.281 -12.550
1.284 -12.777
1.293 -12.765
1.307 -11.895
1.308 -12.240
1.309 -12.864
1.311 -12.284
1.313 -12.036
1.319 -12.617
1.321 -12.635
1.328 -12.091
1.329 -12.694
1.332 -12.781
1.352 -11.830
1.356 -12.101
1.370 -12.495
1.370 -12.443
1.377 -12.951
1.383 -12.892
1.396 -12.620
1.396 -12.132
1.406 -13.071
1.412 -12.176
1.431 -11.378
1.433 -11.965
1.439 -12.233
1.449 -12.903
1.449 -12.914
1.451 -12.238
1.456 -12.675
1.463 -13.118
1.468 -12.529
1.471 -11.838
1.484 -12.220
1.494 -12.435
1.494 -12.378
1.500 -12.778
1.503 -11.810
1.505 -12.041
1.511 -12.444
1.518 -12.513
1.521 -12.567
1.524 -12.674
1.540 -12.306
1.542 -12.635
1.545 -12.620
1.548 -12.547
1.554 -12.068
1.555 -12.204
1.556 -11.925
1.566 -11.937
1.569 -12.399
1.576 -12.035
1.593 -11.923
1.598 -11.958
1.599 -12.447
1.604 -12.830
1.605 -12.930
1.605 -13.142
1.606 -12.587
1.608 -12.149
1.611 -12.050
1.612 -12.545
1.619 -12.298
1.627 -12.373
1.629 -13.088
1.633 -12.865
1.633 -13.089
1.637 -12.508
1.643 -12.656
1.643 -12.446
1.647 -12.363
1.651 -11.969
1.687 -12.800
1.687 -11.777
1.692 -12.287
1.698 -12.769
1.699 -12.354
1.701 -12.402
1.706 -13.257
1.709 -12.189
1.711 -12.133
1.726 -13.184
1.728 -12.748
1.732 -12.113
1.739 -12.642
1.742 -12.642
1.750 -12.904
1.754 -12.554
1.760 -13.413
1.761 -12.172
1.774 -12.625
1.776 -11.783
1.789 -12.525
1.789 -12.834
1.797 -11.898
1.802 -12.189
1.804 -11.897
1.805 -12.290
1.817 -12.300
1.819 -12.162
1.821 -12.766
1.835 -13.047
1.837 -12.508
1.864 -12.605
1.865 -12.339
1.866 -11.650
1.892 -12.453
1.897 -12.496
1.906 -12.801
1.916 -12.977
1.932 -12.568
1.937 -12.554
1.938 -11.959
1.955 -12.622
1.960 -13.673
1.963 -12.532
1.971 -12.496
1.972 -12.106
1.978 -13.257
1.982 -12.430
1.997 -12.545
2.008 -12.382
2.040 -12.391
2.043 -12.270
2.049 -12.296
2.053 -12.458
2.061 -12.622
2.062 -12.753
2.081 -12.971
2.086 -11.769
2.088 -12.700
2.095 -12.110
2.096 -11.622
2.102 -12.282
2.105 -11.978
2.111 -12.448
2.125 -11.888
2.127 -12.232
2.131 -12.686
2.132 -12.351
2.152 -12.659
2.166 -12.306
2.172 -11.784
2.174 -11.911
2.186 -12.712
2.190 -12.413
2.195 -12.222
2.195 -12.568
2.201 -12.513
2.219 -13.371
2.229 -11.740
2.239 -12.258
2.244 -12.756
2.248 -12.384
2.250 -12.817
2.252 -12.276
2.256 -12.118
2.275 -12.411
2.280 -12.180
2.291 -11.917
2.294 -12.516
2.295 -12.305
2.301 -12.538
2.307 -12.725
2.312 -12.309
2.319 -12.091
2.322 -11.616
2.326 -12.384
2.347 -12.613
2.361 -13.055
2.365 -12.756
2.366 -12.394
2.370 -11.791
2.379 -11.869
2.382 -12.347
2.402 -12.247
2.467 -12.861
2.469 -12.310
2.473 -12.812
2.473 -12.511
2.493 -12.417
2.501 -11.741
2.507 -12.604
2.507 -12.808
2.512 -12.368
2.542 -12.551
2.544 -12.918
2.549 -12.281
2.588 -12.133
2.606 -12.640
2.618 -12.267
2.654 -12.449
2.677 -12.117
2.680 -12.471
2.702 -12.569
2.705 -12.660
2.722 -11.700
2.724 -12.213
2.733 -12.739
2.736 -12.970
2.737 -12.253
2.754 -12.500
2.767 -12.100
2.803 -12.958
2.804 -13.326
2.820 -12.184
2.832 -12.710
2.833 -13.101
2.862 -11.996
2.862 -12.506
2.863 -12.358
2.869 -12.909
2.871 -12.244
2.883 -12.708
2.892 -12.469
2.895 -12.594
2.896 -12.738
2.904 -12.562
2.942 -12.873
3.003 -12.089
3.003 -12.312
3.013 -12.802
3.048 -12.684
3.055 -12.054
3.059 -11.967
3.063 -12.578
3.078 -12.876
3.093 -12.675
3.095 -12.533
3.097 -12.091
3.101 -11.854
3.126 -13.480
3.138 -12.103
3.154 -12.110
3.158 -12.803
3.159 -11.998
3.163 -12.808
3.170 -13.114
3.181 -12.616
3.195 -12.632
3.202 -12.146
3.214 -12.239
3.219 -12.375
3.255 -12.904
3.256 -12.574
3.272 -12.749
3.272 -13.046
3.309 -12.224
3.352 -12.312
3.365 -11.736
3.387 -13.209
3.422 -12.747
3.434 -11.822
3.490 -12.898
3.513 -12.699
3.518 -12.655
3.520 -12.241
3.535 -12.421
3.551 -11.877
3.555 -13.089
3.574 -12.111
3.581 -12.853
3.614 -13.040
3.615 -12.771
3.617 -13.104
3.639 -12.675
3.653 -11.848
3.658 -11.986
3.670 -12.661
3.684 -12.818
3.701 -12.737
3.712 -13.103
3.734 -12.274
3.735 -12.014
3.738 -12.385
3.819 -12.494
3.836 -12.387
3.898 -11.704
3.899 -12.959
3.924 -13.062
3.936 -12.579
3.976 -12.504
3.986 -12.194
3.997 -12.590
4.002 -13.142
4.003 -12.270
4.004 -12.670
4.013 -12.299
4.021 -12.531
4.025 -12.983
4.038 -11.976
4.086 -12.127
4.130 -12.349
4.142 -12.738
4.170 -12.499
4.191 -12.567
4.229 -12.360
4.230 -12.275
4.253 -12.156
4.270 -12.780
4.293 -12.591
4.315 -13.158
4.316 -12.535
4.325 -12.862
4.350 -12.400
4.359 -12.820
4.361 -12.310
4.368 -12.802
4.395 -12.969
4.412 -12.924
4.426 -12.212
4.479 -12.626
4.490 -12.165
4.553 -12.883
4.556 -12.111
4.596 -12.422
4.601 -12.817
4.610 -12.265
4.611 -11.714
4.615 -12.859
4.628 -12.327
4.657 -12.868
4.773 -12.826
4.780 -13.055
4.781 -12.816
4.834 -12.776
4.905 -12.967
4.918 -12.055
4.940 -11.741
4.945 -11.889
4.963 -12.787
4.972 -11.964
4.978 -12.938
4.979 -13.008
5.048 -13.146
5.131 -12.101
5.155 -12.445
5.182 -13.175
5.221 -12.408
5.241 -12.734
5.245 -12.887
5.312 -12.538
5.358 -12.531
5.391 -12.594
5.422 -12.691
5.444 -13.132
5.448 -12.245
5.454 -13.163
5.476 -12.762
5.503 -12.291
5.531 -12.718
5.550 -12.749
5.562 -12.547
5.574 -12.605
5.581 -12.823
5.581 -12.872
5.624 -12.733
5.631 -12.771
5.640 -12.832
5.653 -12.604
5.701 -12.592
5.710 -12.896
5.715 -13.266
5.752 -12.809
5.768 -12.437
5.785 -12.737
5.825 -12.881
5.840 -12.468
5.867 -13.098
6.006 -12.457
6.020 -12.340
6.045 -12.658
