# Ep lEiso
87.390 120.301
92.185 120.291
99.508 120.461
101.678 120.459
102.621 120.417
104.768 120.452
106.103 120.517
107.281 120.550
108.680 120.435
108.722 120.416
109.472 120.470
110.774 120.457
111.255 120.529
112.247 120.503
113.211 120.542
113.609 120.563
115.338 120.514
115.590 120.554
116.074 120.571
116.202 120.487
116.548 120.530
116.606 120.512
116.829 120.607
117.197 120.552
117.506 120.535
117.970 120.496
117.989 120.507
118.282 120.527
118.528 120.539
118.713 120.513
120.434 120.452
120.515 120.573
120.651 120.515
121.176 120.640
121.805 120.578
121.871 120.445
122.607 120.644
122.936 120.604
122.973 120.482
123.481 120.627
123.707 120.527
123.889 120.543
124.216 120.483
124.275 120.477
124.363 120.537
124.586 120.511
125.111 120.547
125.929 120.616
125.994 120.576
126.043 120.505
126.115 120.571
126.253 120.600
126.592 120.534
126.730 120.532
127.142 120.594
127.199 120.527
127.380 120.518
128.534 120.624
128.780 120.595
129.500 120.597
129.502 120.564
129.889 120.511
130.190 120.520
130.693 120.554
130.723 120.609
131.097 120.540
131.321 120.609
132.048 120.705
132.119 120.640
132.375 120.612
132.754 120.539
132.757 120.538
132.849 120.615
133.015 120.567
133.307 120.519
133.502 120.587
133.619 120.668
134.122 120.628
134.491 120.606
134.507 120.613
134.740 120.568
134.813 120.594
134.911 120.654
135.127 120.609
135.385 120.602
135.499 120.596
135.603 120.584
136.167 120.629
136.237 120.592
136.338 120.594
136.442 120.603
136.690 120.658
136.709 120.643
136.739 120.675
137.121 120.675
137.219 120.623
137.488 120.665
138.082 120.680
138.285 120.600
138.294 120.622
138.492 120.580
138.512 120.568
138.535 120.545
138.566 120.607
138.641 120.657
138.751 120.669
138.779 120.613
139.034 120.642
139.300 120.634
139.385 120.555
139.523 120.580
139.538 120.555
139.689 120.621
139.883 120.605
139.905 120.629
140.031 120.639
140.172 120.683
141.425 120.597
141.444 120.711
141.605 120.655
141.811 120.602
141.864 120.649
141.908 120.644
142.101 120.549
142.205 120.669
142.265 120.675
142.808 120.561
142.866 120.610
143.015 120.681
143.245 120.623
143.357 120.624
143.642 120.596
143.761 120.636
143.981 120.541
144.012 120.630
144.473 120.631
144.533 120.725
144.975 120.644
145.001 120.610
145.262 120.714
145.443 120.683
145.489 120.715
145.532 120.672
145.955 120.671
146.008 120.687
146.071 120.621
146.566 120.592
146.626 120.650
147.347 120.643
147.380 120.671
147.384 120.746
148.081 120.662
148.221 120.658
148.454 120.626
148.716 120.608
149.119 120.653
149.255 120.624
149.286 120.719
149.725 120.650
149.851 120.688
149.932 120.660
150.138 120.665
150.154 120.707
150.323 120.585
150.414 120.673
150.806 120.663
151.092 120.681
151.927 120.684
152.010 120.697
152.175 120.695
152.277 120.678
152.491 120.661
152.504 120.647
152.997 120.626
153.129 120.755
153.190 120.656
153.357 120.719
153.378 120.772
153.537 120.702
153.614 120.735
153.789 120.685
154.131 120.747
154.197 120.710
154.295 120.662
154.310 120.698
154.833 120.667
155.217 120.707
155.373 120.694
155.422 120.750
155.714 120.665
155.832 120.698
155.954 120.719
155.957 120.682
156.108 120.688
156.575 120.714
156.840 120.775
157.096 120.720
157.236 120.667
157.331 120.708
157.399 120.661
157.456 120.720
157.548 120.738
158.038 120.708
158.178 120.734
158.465 120.764
158.535 120.699
158.563 120.723
158.715 120.698
158.887 120.678
159.004 120.724
159.200 120.749
159.268 120.802
159.383 120.718
159.921 120.695
160.275 120.648
160.358 120.681
160.373 120.722
160.468 120.789
160.648 120.781
160.722 120.729
161.139 120.741
162.484 120.679
162.527 120.741
162.600 120.685
162.612 120.719
163.025 120.729
163.198 120.802
163.312 120.708
163.315 120.686
163.425 120.734
164.057 120.714
164.088 120.675
164.194 120.743
165.016 120.758
165.391 120.709
165.661 120.752
166.406 120.741
166.907 120.785
166.962 120.746
167.420 120.737
167.485 120.727
167.846 120.734
167.889 120.778
168.091 120.718
168.160 120.692
168.166 120.738
168.535 120.745
168.805 120.745
169.586 120.697
169.598 120.657
169.943 120.786
170.202 120.729
170.224 120.685
170.849 120.815
170.853 120.757
170.858 120.774
170.988 120.711
171.045 120.787
171.289 120.734
171.485 120.761
171.559 120.747
171.575 120.731
171.743 120.750
172.538 120.717
173.609 120.800
173.620 120.777
173.800 120.726
174.422 120.744
174.550 120.815
174.626 120.825
174.700 120.759
174.965 120.728
175.233 120.750
175.260 120.740
175.305 120.815
175.373 120.841
175.828 120.749
176.044 120.812
176.334 120.718
176.403 120.737
176.420 120.823
176.489 120.737
176.612 120.704
176.823 120.757
177.071 120.757
177.199 120.810
