# Ep lEiso
1.004 -10.904
1.008 -10.753
1.033 -10.762
1.048 -10.514
1.056 -10.800
1.074 -10.672
1.085 -10.321
1.095 -10.766
1.110 -10.899
1.110 -10.636
1.121 -10.743
1.139 -10.881
1.146 -10.449
1.160 -10.651
1.174 -10.842
1.180 -10.587
1.204 -10.711
1.208 -10.818
1.218 -10.606
1.220 -10.914
1.227 -10.655
1.228 -10.768
1.232 -10.179
1.239 -10.653
1.245 -10.654
1.254 -10.917
1.255 -10.847
1.260 -10.734
1.265 -10.663
1.269 -10.834
1.302 -10.735
1.304 -10.619
1.306 -10.894
1.317 -10.104
1.329 -10.525
1.330 -10.784
1.345 -10.380
1.353 -10.375
1.354 -10.822
1.366 -10.720
1.371 -10.895
1.375 -10.789
1.383 -10.458
1.384 -10.531
1.386 -10.834
1.392 -11.017
1.404 -10.778
1.423 -10.637
1.425 -10.585
1.426 -10.961
1.428 -10.620
1.431 -10.421
1.439 -10.888
1.442 -10.902
1.452 -10.465
1.453 -10.949
1.457 -10.869
1.484 -10.257
1.490 -10.929
1.509 -10.790
1.509 -10.748
1.521 -10.937
1.533 -10.934
1.552 -10.891
1.554 -10.502
1.568 -11.016
1.577 -10.539
1.605 -9.908
1.608 -10.831
1.618 -10.588
1.632 -10.860
1.632 -10.914
1.636 -10.594
1.642 -10.874
1.654 -10.519
1.661 -10.826
1.666 -10.865
1.685 -10.880
1.700 -10.754
1.700 -10.709
1.710 -10.901
1.713 -10.855
1.717 -10.927
1.726 -10.763
1.736 -10.818
1.741 -10.860
1.745 -10.944
1.769 -10.658
1.772 -10.915
1.776 -10.903
1.780 -10.846
1.790 -10.735
1.791 -10.742
1.792 -10.363
1.808 -10.375
1.812 -10.734
1.823 -10.877
1.848 -10.855
1.856 -10.924
1.857 -10.774
1.865 -10.960
1.866 -11.148
1.867 -10.847
1.868 -10.883
1.871 -10.544
1.876 -10.789
1.877 -10.851
1.887 -10.661
1.898 -10.719
1.902 -10.892
1.908 -10.874
1.908 -10.743
1.914 -10.824
1.923 -10.938
1.923 -10.777
1.929 -10.713
1.935 -10.412
1.989 -11.051
1.989 -10.816
1.996 -10.659
2.005 -11.028
2.007 -10.712
2.009 -10.748
2.018 -10.774
2.022 -10.813
2.025 -10.931
2.048 -10.835
2.051 -10.711
2.057 -10.532
2.067 -10.934
2.072 -10.792
2.084 -10.783
2.089 -10.868
2.099 -10.805
2.100 -10.917
2.120 -10.923
2.122 -10.931
2.141 -10.849
2.143 -11.081
2.154 -10.768
2.162 -10.596
2.164 -10.805
2.166 -10.673
2.187 -10.682
2.190 -10.579
2.194 -10.959
2.225 -10.891
2.228 -10.843
2.273 -10.915
2.275 -10.715
2.275 -10.952
2.318 -10.799
2.326 -10.831
2.341 -11.063
2.357 -10.893
2.382 -10.885
2.390 -10.874
2.392 -10.913
2.419 -10.925
2.427 -10.840
2.432 -10.856
2.445 -10.827
2.446 -10.639
2.457 -10.840
2.462 -10.775
2.487 -10.864
2.504 -10.736
2.556 -10.740
2.561 -10.832
2.572 -10.820
2.578 -10.792
2.591 -10.921
2.592 -11.024
2.623 -10.817
2.631 -10.910
2.635 -10.784
2.645 -10.513
2.646 -10.919
2.656 -10.808
2.661 -10.829
2.672 -10.780
2.693 -10.891
2.697 -10.606
2.703 -10.970
2.704 -10.701
2.737 -10.948
2.761 -10.661
2.770 -10.762
2.773 -11.022
2.792 -10.989
2.799 -10.745
2.806 -10.835
2.807 -10.872
2.816 -10.826
2.845 -10.644
2.861 -10.970
2.877 -10.614
2.886 -11.023
2.892 -10.717
2.896 -10.933
2.899 -10.839
2.905 -10.497
2.935 -10.790
2.944 -10.896
2.962 -10.979
2.966 -10.822
2.968 -10.869
2.977 -10.840
2.988 -10.996
2.996 -10.935
3.012 -10.796
3.018 -10.914
3.027 -10.710
3.072 -10.901
3.101 -11.047
3.108 -11.023
3.110 -10.825
3.117 -10.960
3.132 -10.944
3.139 -10.680
3.173 -10.991
3.285 -11.120
3.288 -10.658
3.294 -11.080
3.295 -10.827
3.329 -10.750
3.343 -10.890
3.353 -10.909
3.353 -10.825
3.362 -10.711
3.414 -10.867
3.417 -11.174
3.425 -10.730
3.493 -11.093
3.524 -10.947
3.546 -10.637
3.607 -10.792
3.648 -10.647
3.652 -10.813
3.689 -10.896
3.695 -10.972
3.724 -10.918
3.727 -10.815
3.744 -11.040
3.749 -10.972
3.750 -10.892
3.780 -10.843
3.802 -10.840
3.865 -10.838
3.866 -10.875
3.894 -10.987
3.915 -10.928
3.916 -10.919
