# Ep lEiso
1.006 -10.264
1.014 -10.564
1.054 -9.656
1.079 -9.764
1.092 -10.131
1.122 -9.967
1.140 -9.513
1.156 -9.297
1.181 -10.293
1.182 -10.451
1.200 -10.057
1.230 -10.236
1.241 -9.672
1.265 -9.936
1.287 -9.669
1.297 -9.518
1.337 -10.013
1.344 -9.695
1.359 -9.581
1.363 -10.281
1.374 -9.939
1.376 -10.088
1.383 -9.310
1.395 -9.787
1.405 -9.937
1.420 -10.285
1.421 -10.193
1.430 -10.044
1.441 -9.953
1.450 -10.181
1.527 -10.071
1.530 -9.793
1.536 -9.814
1.560 -9.290
1.588 -9.827
1.591 -10.147
1.625 -9.344
1.643 -9.666
1.645 -10.639
1.673 -9.502
1.685 -10.299
1.695 -10.175
1.712 -9.793
1.716 -10.710
1.720 -10.233
1.732 -10.448
1.761 -10.177
1.805 -9.657
1.809 -9.969
1.811 -10.532
1.815 -10.011
1.823 -9.791
1.841 -10.314
1.849 -10.330
1.871 -9.857
1.874 -10.385
1.884 -10.463
1.946 -9.662
1.962 -10.373
2.019 -10.226
2.020 -10.182
2.051 -10.608
2.075 -10.558
2.116 -10.332
2.119 -9.927
2.149 -10.462
2.167 -9.966
2.226 -9.316
2.232 -9.798
2.252 -10.019
2.283 -10.566
2.283 -10.575
2.291 -10.025
2.304 -10.381
2.328 -9.949
2.344 -10.264
2.353 -10.304
2.394 -10.017
2.424 -10.191
2.425 -10.145
2.444 -10.466
2.450 -10.294
2.459 -10.425
2.478 -10.200
2.500 -10.256
2.510 -10.298
2.519 -10.383
2.567 -10.094
2.575 -10.355
2.586 -10.346
2.598 -10.290
2.625 -9.914
2.627 -10.022
2.631 -9.800
2.673 -9.814
2.684 -10.187
2.714 -9.897
2.779 -9.813
2.802 -10.405
2.803 -10.245
2.825 -10.447
2.827 -10.647
2.829 -10.328
2.833 -10.366
2.841 -10.005
2.853 -9.926
2.856 -10.335
2.885 -10.135
2.914 -10.202
2.923 -10.390
2.939 -10.617
2.940 -10.231
2.957 -10.321
2.978 -10.450
2.981 -10.273
2.995 -10.205
3.011 -9.874
3.155 -10.604
3.157 -10.340
3.176 -10.165
3.199 -10.586
3.205 -10.227
3.210 -10.269
3.233 -10.302
3.245 -10.088
3.251 -10.041
3.326 -10.311
3.334 -10.243
3.356 -10.040
3.388 -10.506
3.404 -10.509
3.444 -10.743
3.461 -10.441
3.493 -10.373
3.497 -10.503
3.562 -10.518
3.571 -10.529
3.634 -10.442
