# Ep lEiso
1.007 -11.501
1.016 -11.635
1.064 -11.232
1.093 -11.280
1.108 -11.442
1.143 -11.608
1.165 -11.174
1.184 -11.081
1.213 -11.586
1.215 -11.579
1.235 -11.410
1.271 -11.487
1.284 -11.247
1.312 -11.360
1.338 -11.465
1.349 -11.629
1.397 -11.393
1.405 -11.452
1.423 -11.664
1.428 -11.505
1.441 -11.363
1.443 -11.425
1.452 -11.103
1.465 -11.301
1.477 -11.363
1.495 -11.506
1.495 -11.468
1.506 -11.407
1.516 -11.368
1.523 -11.461
1.605 -11.705
1.609 -11.731
1.617 -11.493
1.647 -11.557
1.683 -11.557
1.687 -11.751
1.730 -11.088
1.753 -11.224
1.756 -11.640
1.791 -11.150
1.806 -11.491
1.819 -11.437
1.841 -11.645
1.845 -11.667
1.851 -11.460
1.867 -11.552
1.903 -11.671
1.959 -11.202
1.964 -11.338
1.967 -11.584
1.972 -11.355
1.982 -11.733
2.005 -11.487
2.015 -11.493
2.043 -11.282
2.047 -11.516
2.059 -11.549
2.139 -11.188
2.156 -11.505
2.211 -11.692
2.211 -11.679
2.241 -11.608
2.264 -11.586
2.311 -11.488
2.314 -11.710
2.355 -11.655
2.380 -11.331
2.461 -11.048
2.469 -11.262
2.497 -11.361
2.539 -11.606
2.539 -11.610
2.549 -11.367
2.568 -11.525
2.600 -11.686
2.622 -11.476
2.635 -11.495
2.690 -11.505
2.731 -11.450
2.733 -11.430
2.759 -11.574
2.768 -11.498
2.779 -11.557
2.805 -11.458
2.835 -11.484
2.849 -11.504
2.861 -11.543
2.928 -11.417
2.936 -11.534
2.948 -11.529
2.960 -11.504
2.990 -11.455
2.992 -11.385
2.996 -11.287
3.041 -11.294
3.052 -11.457
3.084 -11.331
3.154 -11.517
3.178 -11.550
3.179 -11.482
3.203 -11.616
3.206 -11.652
3.210 -11.726
3.215 -11.532
3.227 -11.586
3.245 -11.346
3.249 -11.520
3.290 -11.435
3.333 -11.464
3.347 -11.719
3.370 -11.641
3.372 -11.721
3.396 -11.515
3.428 -11.570
3.431 -11.495
3.452 -11.466
3.476 -11.325
3.686 -11.639
3.689 -11.442
3.716 -11.451
3.751 -11.632
3.760 -11.478
3.767 -11.496
3.800 -11.818
3.817 -11.418
3.827 -11.398
3.919 -11.800
3.928 -11.635
3.953 -11.395
3.992 -11.598
4.011 -11.599
4.059 -11.702
4.079 -11.569
4.116 -11.902
4.121 -11.423
4.198 -11.602
4.208 -11.607
4.283 -11.568
4.288 -11.689
4.342 -11.324
4.383 -11.440
4.393 -11.470
4.403 -11.481
4.498 -11.490
