# Ep lEiso
20.089 -8.987
37.560 -9.158
47.659 -9.505
50.437 -9.621
51.241 -9.754
53.071 -9.881
54.131 -9.558
54.704 -9.486
55.584 -9.851
55.618 -9.845
56.239 -9.717
57.316 -9.766
57.708 -9.586
58.240 -9.670
58.756 -9.588
58.969 -9.542
59.896 -9.695
60.042 -9.600
60.397 -9.566
60.491 -9.776
60.745 -9.674
60.787 -9.718
60.951 -9.488
61.191 -9.628
61.355 -9.669
61.601 -9.769
61.611 -9.741
61.766 -9.694
61.897 -9.663
61.995 -9.730
62.907 -9.908
62.950 -9.581
63.023 -9.739
63.301 -9.398
63.635 -9.784
63.670 -9.943
64.077 -9.382
64.283 -9.492
64.302 -9.849
64.562 -9.427
64.678 -9.721
64.771 -9.675
64.938 -9.855
64.969 -9.874
65.013 -9.695
65.128 -9.775
65.396 -9.770
65.815 -9.467
65.848 -9.587
65.873 -9.804
65.910 -9.602
65.981 -9.516
66.154 -9.718
66.225 -9.724
66.436 -9.536
66.465 -9.744
66.557 -9.774
67.148 -9.449
67.255 -9.736
67.602 -9.675
67.603 -9.656
67.792 -9.843
67.938 -9.824
68.183 -9.723
68.198 -9.534
68.380 -9.785
68.489 -9.548
68.843 -9.214
68.877 -9.456
69.002 -9.565
69.186 -9.850
69.188 -9.739
69.232 -9.566
69.313 -9.718
69.455 -9.521
69.550 -9.691
69.607 -9.714
69.845 -9.722
70.007 -9.648
70.014 -9.622
70.118 -9.801
70.153 -9.704
70.199 -9.470
70.301 -9.650
70.422 -9.680
70.476 -9.704
70.524 -9.751
70.790 -9.585
70.823 -9.731
70.870 -9.724
70.919 -9.691
71.036 -9.477
71.045 -9.537
71.059 -9.413
71.239 -9.418
71.285 -9.623
71.412 -9.460
71.691 -9.409
71.786 -9.727
71.790 -9.640
71.884 -9.746
71.893 -9.853
71.904 -9.681
71.918 -9.701
71.954 -9.507
72.006 -9.464
72.019 -9.682
72.139 -9.572
72.255 -9.606
72.292 -9.704
72.352 -9.694
72.358 -9.619
72.424 -9.666
72.509 -9.731
72.518 -9.639
72.573 -9.602
72.637 -9.430
73.202 -9.795
73.210 -9.349
73.283 -9.571
73.376 -9.782
73.400 -9.601
73.420 -9.622
73.507 -9.637
73.554 -9.530
73.581 -9.506
73.826 -9.635
73.852 -9.601
73.919 -9.498
74.023 -9.728
